NuSTAR alignment corrections
20150901 observation date
OBSID 20102002001
FPMA
Orbit 2
Reference is AIA FeXVIII
Coalignment performed on 20161019




Time                X correction[arcsec]  Y correction[arcsec]
 1-Sep-2015 03:55:21.000     -19.0198     -19.0198
 1-Sep-2015 03:55:33.000     -29.4237     -29.4237
 1-Sep-2015 03:55:45.000     -28.3408     -28.3408
 1-Sep-2015 03:55:57.000     -29.0063     -29.0063
 1-Sep-2015 03:56:09.000     -30.3321     -30.3321
 1-Sep-2015 03:56:21.000     -30.0062     -30.0062
 1-Sep-2015 03:56:33.000     -30.7292     -30.7292
 1-Sep-2015 03:56:45.000     -31.9157     -31.9157
 1-Sep-2015 03:56:57.000     -32.1933     -32.1933
 1-Sep-2015 03:57:09.000     -31.8985     -31.8985
 1-Sep-2015 03:57:21.000     -31.5821     -31.5821
 1-Sep-2015 03:57:33.000     -32.4615     -32.4615
 1-Sep-2015 03:57:45.000     -34.0187     -34.0187
 1-Sep-2015 03:57:57.000     -34.7557     -34.7557
 1-Sep-2015 03:58:09.000     -34.8776     -34.8776
 1-Sep-2015 03:58:21.000     -35.0539     -35.0539
 1-Sep-2015 03:58:33.000     -35.0686     -35.0686
 1-Sep-2015 03:58:45.000     -34.8636     -34.8636
 1-Sep-2015 03:58:57.000     -34.1860     -34.1860
 1-Sep-2015 03:59:09.000     -32.4670     -32.4670
 1-Sep-2015 03:59:21.000     -30.9896     -30.9896
 1-Sep-2015 03:59:33.000     -29.8773     -29.8773
 1-Sep-2015 03:59:45.000     -28.3916     -28.3916
 1-Sep-2015 03:59:57.000     -27.3113     -27.3113
 1-Sep-2015 04:00:09.000     -26.3723     -26.3723
 1-Sep-2015 04:00:21.000     -25.8961     -25.8961
 1-Sep-2015 04:00:33.000     -25.5273     -25.5273
 1-Sep-2015 04:00:45.000     -24.7616     -24.7616
 1-Sep-2015 04:00:57.000     -24.1751     -24.1751
 1-Sep-2015 04:01:09.000     -23.8216     -23.8216
 1-Sep-2015 04:01:21.000     -23.0229     -23.0229
